                          RANK  COUNT  ZIPF FREQUENCY
eigentlich                 451      6            2706
menge                      452      6            2712
afghanistan                453      6            2718
früh                       454      6            2724
arbeit                     455      6            2730
sämtliche                  456      6            2736
rings                      457      6            2742
tisch                      458      6            2748
sprang                     459      6            2754
früher                     460      6            2760
begangen                   461      6            2766
jede                       462      6            2772
meinte                     463      6            2778
jemand                     464      6            2784
dachte                     465      6            2790
art                        466      6            2796
würden                     467      6            2802
heißt                      468      6            2808
gehen                      469      6            2814
ließen                     470      6            2820
dinge                      471      6            2826
dich                       472      6            2832
besser                     473      6            2838
wesen                      474      6            2844
unseres                    475      6            2850
hätten                     476      6            2856
eigenen                    477      6            2862
munde                      478      6            2868
erde                       479      6            2874
gesagt                     480      6            2880
werde                      481      6            2886
vergessen                  482      6            2892
acht                       483      6            2898
lautete                    484      6            2904
lehnte                     485      6            2910
hinter                     486      6            2916
geschäft                   487      6            2922
artikel                    488      6            2928
kurz                       489      6            2934
ehe                        490      6            2940
einfach                    491      6            2946
dergleichen                492      6            2952
geschickt                  493      6            2958
fährte                     494      6            2964
hilfe                      495      6            2970
geschichte                 496      6            2976
herzen                     497      6            2982
gethan                     498      6            2988
liegt                      499      6            2994
namen                      500      6            3000
nummer                     501      6            3006
herrn                      502      6            3012
fragen                     503      6            3018
schlug                     504      6            3024
stieß                      505      6            3030
leichnam                   506      6            3036
händen                     507      6            3042
bekommen                   508      6            3048
kutscher                   509      6            3054
polizisten                 510      6            3060
arme                       511      6            3066
wahrscheinlich             512      6            3072
glaubte                    513      6            3078
mord                       514      6            3084
klar                       515      6            3090
scharen                    516      6            3096
wurden                     517      6            3102
bericht                    518      6            3108
murmelte                   519      6            3114
gewiß                      520      6            3120
tode                       521      6            3126
madame                     522      6            3132
brust                      523      6            3138
sekretär                   524      6            3144
galt                       525      6            3150
junge                      526      6            3156
jefferson                  527      6            3162
erreicht                   528      6            3168
mormonen                   529      6            3174
lage                       530      5            2650
nachdem                    531      5            2655
neun                       532      5            2660
elf                        533      5            2665
ziehen                     534      5            2670
hotel                      535      5            2675
verlassen                  536      5            2680
weniger                    537      5            2685
london                     538      5            2690
lösen                      539      5            2695
niemand                    540      5            2700
könne                      541      5            2705
lieber                     542      5            2710
blicken                    543      5            2715
wissenschaft               544      5            2720
studien                    545      5            2725
verschiedenen              546      5            2730
zeiten                     547      5            2735
bleibt                     548      5            2740
sogleich                   549      5            2745
zweck                      550      5            2750
gingen                     551      5            2755
entdeckt                   552      5            2760
denke                      553      5            2765
einige                     554      5            2770
sofort                     555      5            2775
dunkle                     556      5            2780
punkt                      557      5            2785
verdacht                   558      5            2790
findet                     559      5            2795
kopf                       560      5            2800
herz                       561      5            2805
ferner                     562      5            2810
tag                        563      5            2815
anderer                    564      5            2820
holen                      565      5            2825
zwölf                      566      5            2830
komme                      567      5            2835
besondere                  568      5            2840
rätsel                     569      5            2845
wirst                      570      5            2850
schlußfolgerung            571      5            2855
wohnzimmer                 572      5            2860
ruhe                       573      5            2865
abends                     574      5            2870
morgens                    575      5            2875
vorschein                  576      5            2880
zwecke                     577      5            2885
feinen                     578      5            2890
allem                      579      5            2895
geheimnis                  580      5            2900
sonne                      581      5            2905
möglich                    582      5            2910
ansicht                    583      5            2915
allerlei                   584      5            2920
hält                       585      5            2925
3                          586      5            2930
las                        587      5            2935
schloß                     588      5            2940
gedanken                   589      5            2945
viele                      590      5            2950
stunde                     591      5            2955
geld                       592      5            2960
ruhig                      593      5            2965
richtige                   594      5            2970
zugetragen                 595      5            2975
zweiten                    596      5            2980
bewahre                    597      5            2985
steht                      598      5            2990
wangen                     599      5            2995
gegend                     600      5            3000
versteht                   601      5            3005
geben                      602      5            3010
falsch                     603      5            3015
laut                       604      5            3020
brief                      605      5            3025
jedem                      606      5            3030
stock                      607      5            3035
cleveland                  608      5            3040
toten                      609      5            3045
fuhren                     610      5            3050
großer                     611      5            3055
letzte                     612      5            3060
standen                    613      5            3065
hohe                       614      5            3070
schar                      615      5            3075
entdecken                  616      5            3080
männer                     617      5            3085
thüre                      618      5            3090
hellen                     619      5            3095
stirn                      620      5            3100
wahrhaftig                 621      5            3105
nämlich                    622      5            3110
glieder                    623      5            3115
bemerkt                    624      5            3120
diele                      625      5            3125
trauring                   626      5            3130
name                       627      5            3135
ihres                      628      5            3140
geschrieben                629      5            3145
gehabt                     630      5            3150
tasche                     631      5            3155
sogar                      632      5            3160
hoffnung                   633      5            3165
geheimpolizisten           634      5            3170
halten                     635      5            3175
sollen                     636      5            3180
unmöglich                  637      5            3185
tiefen                     638      5            3190
schritt                    639      5            3195
seines                     640      5            3200
geht                       641      5            3205
alten                      642      5            3210
kameraden                  643      5            3215
schwer                     644      5            3220
anzeige                    645      5            3225
stuhl                      646      5            3230
näher                      647      5            3235
bett                       648      5            3240
folgen                     649      5            3245
letzten                    650      5            3250
unsern                     651      5            3255
hope                       652      5            3260
ebene                      653      5            3265
herde                      654      5            3270
durchgemacht               655      4            2620
ort                        656      4            2624
gesellschaft               657      4            2628
indessen                   658      4            2632
eigener                    659      4            2636
allmählich                 660      4            2640
zustand                    661      4            2644
später                     662      4            2648
regierung                  663      4            2652
besaß                      664      4            2656
daher                      665      4            2660
machten                    666      4            2664
sorge                      667      4            2668
anblick                    668      4            2672
nahe                       669      4            2676
saßen                      670      4            2680
aller                      671      4            2684
kerl                       672      4            2688
quartier                   673      4            2692
laboratorium               674      4            2696
statt                      675      4            2700
behaupten                  676      4            2704
übrigen                    677      4            2708
vermutlich                 678      4            2712
überhaupt                  679      4            2716
lärm                       680      4            2720
spät                       681      4            2724
deine                      682      4            2728
stecken                    683      4            2732
halte                      684      4            2736
undenkbar                  685      4            2740
freunde                    686      4            2744
wirkung                    687      4            2748
probe                      688      4            2752
liebe                      689      4            2756
führer                     690      4            2760
korridor                   691      4            2764
blickte                    692      4            2768
beobachtungen              693      4            2772
entgegen                   694      4            2776
eifer                      695      4            2780
finger                     696      4            2784
sieht                      697      4            2788
mehrere                    698      4            2792
freude                     699      4            2796
stunden                    700      4            2800
dreht                      701      4            2804
rock                       702      4            2808
blutspuren                 703      4            2812
mittel                     704      4            2816
funkelten                  705      4            2820
wünschen                   706      4            2824
denen                      707      4            2828
schaffen                   708      4            2832
stellen                    709      4            2836
scharfen                   710      4            2840
bakerstraße                711      4            2844
mund                       712      4            2848
kümmern                    713      4            2852
erwarten                   714      4            2856
angegriffen                715      4            2860
hinein                     716      4            2864
erklären                   717      4            2868
studium                    718      4            2872
entgegnete                 719      4            2876
kunst                      720      4            2880
tage                       721      4            2884
hell                       722      4            2888
erhielt                    723      4            2892
bot                        724      4            2896
verwunderung               725      4            2900
falsche                    726      4            2904
leeren                     727      4            2908
welchen                    728      4            2912
irrtum                     729      4            2916
zunge                      730      4            2920
begann                     731      4            2924
schließen                  732      4            2928
horizont                   733      4            2932
8                          734      4            2936
verübt                     735      4            2940
ärgerlich                  736      4            2944
mühe                       737      4            2948
leise                      738      4            2952
schließlich                739      4            2956
schweigend                 740      4            2960
gäbe                       741      4            2964
geduld                     742      4            2968
richtig                    743      4            2972
solche                     744      4            2976
theorien                   745      4            2980
fingern                    746      4            2984
tausend                    747      4            2988
einzige                    748      4            2992
kenntnis                   749      4            2996
rechten                    750      4            3000
deshalb                    751      4            3004
rat                        752      4            3008
bleiben                    753      4            3012
arm                        754      4            3016
setzte                     755      4            3020
fehlt                      756      4            3024
deutend                    757      4            3028
offenbar                   758      4            3032
