              RANK  COUNT  ZIPF FREQUENCY
PTAR           487      2             974
DZAM           488      2             976
O8             489      2             978
4OHZOE         490      2             980
4OAIR          491      2             982
8A8G           492      2             984
ODO8G          493      2             986
4OO2           494      2             988
8TCCG          495      2             990
8OE8           496      2             992
TCO8AM         497      2             994
TDOE8G         498      2             996
4ODCTG         499      2             998
TOTG           500      2            1000
OHSOE          501      2            1002
SCO8           502      2            1004
TCCO8G         503      2            1006
TOPG           504      2            1008
TOFTG          505      2            1010
HOE8G          506      2            1012
TOCHG          507      2            1014
TOOR           508      2            1016
PTCCG          509      2            1018
PTCG           510      2            1020
TOEAE          511      2            1022
2TCAM          512      2            1024
TCAN           513      2            1026
OPG8AM         514      2            1028
TGDTG          515      2            1030
CHG            516      2            1032
TARG           517      2            1034
OHTAR          518      2            1036
OHORTG         519      2            1038
TCCDG          520      2            1040
TO8CG          521      2            1042
ORTCG          522      2            1044
2ARG           523      2            1046
OGDCCG         524      2            1048
OH8G           525      2            1050
OTO            526      2            1052
GHTAR          527      2            1054
GDCG           528      2            1056
GPTG           529      2            1058
4OTOE          530      2            1060
8AEG           531      2            1062
HZG8           532      2            1064
4OHOM          533      2            1066
SPZG           534      2            1068
4ODT8          535      2            1070
88G            536      2            1072
G8AE           537      2            1074
GHSG           538      2            1076
4O8TG          539      2            1078
8PTG           540      2            1080
8OE8G          541      2            1082
ODTAE          542      2            1084
8AE8G          543      2            1086
FOE            544      2            1088
ODAE8          545      2            1090
GOE            546      2            1092
PTO            547      2            1094
2OIM           548      2            1096
OETG           549      2            1098
2OSG           550      2            1100
2O8G           551      2            1102
TO8            552      2            1104
HCOR           553      2            1106
2O8AM          554      2            1108
8GHTG          555      2            1110
GDSG           556      2            1112
8AR8G          557      2            1114
8TDZG          558      2            1116
ODCAR          559      2            1118
8ADG           560      2            1120
OPTOR8G        561      2            1122
ORO            562      2            1124
4OHTO8         563      2            1126
HZG2           564      2            1128
HZOM           565      2            1130
4OPTCG         566      2            1132
SOHTG          567      2            1134
FTOE           568      2            1136
TFZCG          569      2            1138
4OHTAR         570      2            1140
OPG8G          571      2            1142
ODTOK          572      2            1144
GTCDTG         573      2            1146
DSCO           574      2            1148
8SCOR          575      2            1150
GTO8G          576      2            1152
FTG            577      2            1154
OE8AM          578      2            1156
OETCOE         579      2            1158
ODCCCG         580      2            1160
HZCOE          581      2            1162
TCCOE          582      2            1164
ODAE8G         583      2            1166
TDZOE          584      2            1168
DTAM           585      2            1170
8TAE           586      2            1172
GDAK           587      2            1174
4OHSG          588      2            1176
TOR8G          589      2            1178
8GHG           590      2            1180
S8AM           591      2            1182
OPTCG          592      2            1184
HOG            593      2            1186
OHT            594      2            1188
O8AIIR         595      2            1190
TO8TG          596      2            1192
OTOE           597      2            1194
S8             598      2            1196
FTO            599      2            1198
GHCOE          600      2            1200
2TOR           601      2            1202
4ODOE8G        602      2            1204
OHOE8G         603      2            1206
OHTAM          604      2            1208
FTOE8G         605      2            1210
OEOE8G         606      2            1212
GHAK           607      2            1214
OF             608      2            1216
8SC            609      2            1218
OHSG           610      2            1220
4OHO           611      2            1222
OCCCO2         612      2            1224
4ODAN          613      2            1226
SAK            614      2            1228
ODCAE          615      2            1230
HTO8AR         616      2            1232
OHAIIR         617      2            1234
TDAN           618      2            1236
4OHTCAM        619      2            1238
8SCG           620      2            1240
GPTC8G         621      2            1242
TCDC8G         622      2            1244
AE8G           623      2            1246
CC8G           624      2            1248
TCD            625      2            1250
SCO2           626      2            1252
PTC8AR         627      2            1254
GPT8G          628      2            1256
PT8AR          629      2            1258
DZ8G           630      2            1260
4OHCC8G        631      2            1262
OFTG           632      2            1264
ODTCCG         633      2            1266
OHT8G          634      2            1268
4OHTAM         635      2            1270
TCHTG          636      2            1272
OHCG           637      2            1274
HZ2            638      2            1276
TOEO8G         639      2            1278
M              640      2            1280
TOHZCG         641      2            1282
DTO8G          642      2            1284
4OFTC8G        643      2            1286
DCCOE          644      2            1288
SC8            645      2            1290
EDC8G          646      2            1292
ODZC8G         647      2            1294
AEAM           648      2            1296
DC8            649      2            1298
ETCG           650      2            1300
FTO8G          651      2            1302
OHTC8G         652      2            1304
EAM            653      2            1306
TCDCG          654      2            1308
TCDAR          655      2            1310
8G8G           656      2            1312
ODAEG          657      2            1314
T8AN           658      2            1316
T8             659      2            1318
DCT8G          660      2            1320
AIM            661      2            1322
SCD            662      2            1324
TDZ8G          663      2            1326
T8AM           664      2            1328
4ODC8AR        665      2            1330
ORAIR          666      2            1332
OET8AM         667      2            1334
T8AR           668      2            1336
HC8G           669      2            1338
4ODTAM         670      2            1340
ODOE8G         671      2            1342
AEG            672      2            1344
OEDAM          673      2            1346
OEDG           674      2            1348
4ODAIK         675      2            1350
FGAG2          676      1             676
0D0RC2         677      1             677
2ORG           678      1             678
DZAR           679      1             679
THAM           680      1             680
8ALA           681      1             681
2GAIIR         682      1             682
HZOARG         683      1             683
HZC2           684      1             684
8ARAM          685      1             685
0OM            686      1             686
OHCAR          687      1             687
ROEOHG         688      1             688
HZAAR          689      1             689
2AIRG          690      1             690
G8ARAISG       691      1             691
OG8AR          692      1             692
FZOAM          693      1             693
SO8ARG         694      1             694
GSCG           695      1             695
O2TG           696      1             696
02             697      1             697
HCO8G          698      1             698
PZC2AM         699      1             699
PZO8AEC2       700      1             700
DSOG           701      1             701
OHAIRN         702      1             702
SO8AN          703      1             703
2DZCG          704      1             704
DO8AM          705      1             705
PZ08AIIE2      706      1             706
OE8AN          707      1             707
ODON           708      1             708
80R            709      1             709
SO8AL          710      1             710
DOCAK          711      1             711
TCDAN          712      1             712
8G8G8          713      1             713
8AIHZG         714      1             714
DO8SCG         715      1             715
PZCAEG         716      1             716
8ARAN          717      1             717
DZG82          718      1             718
SHZAM          719      1             719
PZHOE          720      1             720
8AOCHA         721      1             721
PZO            722      1             722
SODTCCG        723      1             723
HSO8CC2G       724      1             724
PG8CCG         725      1             725
RO8            726      1             726
00ON           727      1             727
HZCAR          728      1             728
CTO00          729      1             729
HZOE8AR        730      1             730
DODAM          731      1             731
DA8TG          732      1             732
DOTCG          733      1             733
THOR           734      1             734
0CO            735      1             735
DTRG           736      1             736
OEHTCG         737      1             737
FZAR           738      1             738
EDO8G          739      1             739
ODO8AR         740      1             740
DZO            741      1             741
8DSCCG         742      1             742
DOHTO8G        743      1             743
TODCO          744      1             744
2OTCG          745      1             745
POHOG          746      1             746
PZOAE          747      1             747
OHOAM          748      1             748
8OETCG         749      1             749
TO8O           750      1             750
EOE            751      1             751
TOIC2          752      1             752
8OEO           753      1             753
HAOR           754      1             754
2TO8G          755      1             755
POE            756      1             756
DG8ANG         757      1             757
GPTAM          758      1             758
DZOE2G         759      1             759
8ORTORG        760      1             760
SAII8G         761      1             761
THO88G         762      1             762
OHOTOR         763      1             763
GHTAM          764      1             764
8AN8           765      1             765
8DOE           766      1             766
8AMG           767      1             767
DG8AN          768      1             768
FO8AL          769      1             769
GDS            770      1             770
OESCCG         771      1             771
8AIIE8G        772      1             772
8E2SO          773      1             773
GDO8G          774      1             774
8AIIROE        775      1             775
TOEAM          776      1             776
GTAN           777      1             777
OE2AM          778      1             778
GOR            779      1             779
SHG            780      1             780
EOCCC2         781      1             781
TOEO           782      1             782
TDZOG          783      1             783
4OHCCCG        784      1             784
TODCO2         785      1             785
TODOISC        786      1             786
8OEO8G         787      1             787
HSCO2          788      1             788
4OPAE          789      1             789
8AIKK          790      1             790
4OHTAK         791      1             791
4OTCOR         792      1             792
TOEOEG         793      1             793
GTHAM          794      1             794
GSCOR          795      1             795
0OR            796      1             796
SCOE8AK        797      1             797
PTCOE          798      1             798
2OE2           799      1             799
ODA8AM         800      1             800
4O2TO8AK       801      1             801
4O8AIR         802      1             802
HSCOAROK       803      1             803
OFT2G          804      1             804
OHTOK          805      1             805
OPORAR         806      1             806
CDSG           807      1             807
4ODCOK         808      1             808
2OECCK         809      1             809
2OCOK          810      1             810
GHCO8G         811      1             811
4ODCCO         812      1             812
PTCOE8OK       813      1             813
4OPOE          814      1             814
OHOEOK         815      1             815
4OHCOE         816      1             816
4O2AM          817      1             817
ODOEOR         818      1             818
DOAM           819      1             819
4OHOG          820      1             820
SA             821      1             821
GDOAM          822      1             822
8AII8G         823      1             823
OEGHOE         824      1             824
2CCC2          825      1             825
TCCGDAK        826      1             826
ODAI0          827      1             827
CC2            828      1             828
CCG            829      1             829
CCL            830      1             830
GCCCAR         831      1             831
CCAR           832      1             832
TO8AEG         833      1             833
FZAK           834      1             834
DTOK           835      1             835
TCDCOE         836      1             836
ODA            837      1             837
GHTCCAR        838      1             838
HZO8OAEG       839      1             839
4ODSOE         840      1             840
8AIIK          841      1             841
SODZO          842      1             842
TO8AIR         843      1             843
DTAK           844      1             844
SCAK           845      1             845
GHCAK          846      1             846
DO8AETG        847      1             847
TPA8G          848      1             848
GHOG           849      1             849
SHTG           850      1             850
TORAM          851      1             851
PG8AM          852      1             852
DZOTG          853      1             853
SGSOE          854      1             854
PTOOM          855      1             855
DSCA           856      1             856
DTOG           857      1             857
8OE82          858      1             858
8EO8           859      1             859
SDTOR          860      1             860
TCORG          861      1             861
OARAK          862      1             862
HZX            863      1             863
PZ             864      1             864
SCCOR          865      1             865
PZG8G          866      1             866
OECL           867      1             867
4OODO          868      1             868
IINTCOK        869      1             869
SODG           870      1             870
DTCOR          871      1             871
SHAM           872      1             872
OTO8G          873      1             873
THO8G          874      1             874
PTOG           875      1             875
TDOG           876      1             876
OAR            877      1             877
OE2G           878      1             878
8DSG           879      1             879
DZOG           880      1             880
OD00OR         881      1             881
OHAL           882      1             882
OHCCCL         883      1             883
4OHTO8G        884      1             884
TOEOE2         885      1             885
4OHTCO         886      1             886
4OCCCG         887      1             887
4OGDCCCG       888      1             888
SOHSG          889      1             889
D              890      1             890
PSO8           891      1             891
TOE2           892      1             892
GHOIM          893      1             893
TOH2           894      1             894
GTOPOR8K       895      1             895
8ARTOR         896      1             896
SODCCOE        897      1             897
8AIRO88        898      1             898
TOPTOE         899      1             899
TOHOE2         900      1             900
POCCAR         901      1             901
DSOR           902      1             902
TCOCC2         903      1             903
GAIIR          904      1             904
GHAEG          905      1             905
SCA            906      1             906
SCCOE          907      1             907
2DAIIO8AR      908      1             908
HZCO8          909      1             909
O8SC           910      1             910
GTAR           911      1             911
OETA8          912      1             912
OETODAM        913      1             913
GDAIIK         914      1             914
DOARG          915      1             915
TCCDAR         916      1             916
4OOR           917      1             917
4OCDTAR        918      1             918
TCA2           919      1             919
OOTODZG        920      1             920
TCDTOG         921      1             921
2GTO2          922      1             922
GTDZG          923      1             923
8CG            924      1             924
GHO8G          925      1             925
S00            926      1             926
TO8AK          927      1             927
SOHZOE         928      1             928
GTO2           929      1             929
4ODOK          930      1             930
OCCO           931      1             931
4ODTO8         932      1             932
GTCAR          933      1             933
GO8AM          934      1             934
HTAEO8G        935      1             935
GTAM           936      1             936
DZAE           937      1             937
HZO8AK         938      1             938
GHTO           939      1             939
OTOEG          940      1             940
TOE8AR         941      1             941
OHZAK          942      1             942
FTO8AM         943      1             943
TOPTCG         944      1             944
4DO            945      1             945
TOROTG         946      1             946
OTCC2          947      1             947
GHTCCG         948      1             948
TAE8           949      1             949
EOTCG          950      1             950
DTO2           951      1             951
OAN2           952      1             952
DSOEO          953      1             953
4OHOCC2        954      1             954
8SOG           955      1             955
8CCCC2C        956      1             956
OETOM          957      1             957
2TAN           958      1             958
POEGSG         959      1             959
HSO8O8G        960      1             960
TPZCG          961      1             961
HZ8            962      1             962
TCOE8G         963      1             963
TOHCCCL        964      1             964
OTAR           965      1             965
TO2TG          966      1             966
8CCC2          967      1             967
8TO8AM         968      1             968
SCO8AM         969      1             969
ESOE           970      1             970
4O2            971      1             971
8CCCL          972      1             972
SOHT           973      1             973
4OHCCCO        974      1             974
RTO            975      1             975
DCCO           976      1             976
8COE           977      1             977
OHSAE          978      1             978
FZO8AR         979      1             979
HTHG           980      1             980
SDTCAE2        981      1             981
ODTC           982      1             982
SC2C8          983      1             983
TCCCG          984      1             984
2TO            985      1             985
CDOOAM         986      1             986
HOS            987      1             987
CDTCCG         988      1             988
TOHO           989      1             989
DTOAL          990      1             990
HTOCP          991      1             991
OFTCG          992      1             992
8SCCG          993      1             993
HCCO8AL        994      1             994
TCOHZG         995      1             995
ODSCO          996      1             996
GHTO8G         997      1             997
TOH            998      1             998
OHARM          999      1             999
4OTO8AM       1000      1            1000
SOHODO8G      1001      1            1001
ODODTO8       1002      1            1002
TOFG8G        1003      1            1003
DSCG          1004      1            1004
EO8G          1005      1            1005
DS2           1006      1            1006
HZ8AM         1007      1            1007
8AMRTG        1008      1            1008
DTODTG        1009      1            1009
T2CG          1010      1            1010
HZAITAR       1011      1            1011
CE            1012      1            1012
TA            1013      1            1013
RTCAE         1014      1            1014
8AI           1015      1            1015
TODC2CG       1016      1            1016
2AIK          1017      1            1017
2OOHZ         1018      1            1018
OPTCAM        1019      1            1019
SHZAE         1020      1            1020
TCAE          1021      1            1021
8OEAR         1022      1            1022
8SOE          1023      1            1023
TCAL          1024      1            1024
SCAEG         1025      1            1025
CHAM          1026      1            1026
HZAL          1027      1            1027
TOHAN         1028      1            1028
DS            1029      1            1029
ORTE          1030      1            1030
2TARTG        1031      1            1031
OCC2O8G       1032      1            1032
PZAROK        1033      1            1033
2ORAN         1034      1            1034
TCCOHAM       1035      1            1035
TODAN         1036      1            1036
DCODG         1037      1            1037
2AHAR         1038      1            1038
EODAM         1039      1            1039
TM            1040      1            1040
HG8EO         1041      1            1041
2SG           1042      1            1042
ODTO8G        1043      1            1043
HOCODG        1044      1            1044
HOM           1045      1            1045
4OHO8         1046      1            1046
GSG           1047      1            1047
THZO8         1048      1            1048
8AGHG         1049      1            1049
TODOM         1050      1            1050
8SOE8G        1051      1            1051
PSOAN         1052      1            1052
HZOAM         1053      1            1053
FZO8ORAE      1054      1            1054
SG8AE         1055      1            1055
ODAN8         1056      1            1056
2OESO         1057      1            1057
TOHZOG        1058      1            1058
TO8GDTG       1059      1            1059
FOTOR         1060      1            1060
OPORO8G       1061      1            1061
OPG           1062      1            1062
4OPTGPTO      1063      1            1063
4OFOE         1064      1            1064
GPTCCG        1065      1            1065
OEFZOEG       1066      1            1066
O8OE          1067      1            1067
DSCO8G        1068      1            1068
GDO           1069      1            1069
8AIK          1070      1            1070
RODG8         1071      1            1071
TGDGHG        1072      1            1072
TSOHG         1073      1            1073
OHZO8G        1074      1            1074
TORTG         1075      1            1075
PTO8OETOPTAE  1076      1            1076
GRT           1077      1            1077
DOK           1078      1            1078
HZOOR         1079      1            1079
TAIR          1080      1            1080
CHG8          1081      1            1081
THTOR         1082      1            1082
4OHZOEG       1083      1            1083
GDTAM         1084      1            1084
HZ8AN         1085      1            1085
OGDTOR        1086      1            1086
DAIM          1087      1            1087
O4OHAR        1088      1            1088
O2AN          1089      1            1089
ROHTO         1090      1            1090
OHG8G         1091      1            1091
THZOR         1092      1            1092
OEHG          1093      1            1093
TDZAL         1094      1            1094
2TOAE         1095      1            1095
SFG8AM        1096      1            1096
SOGHG         1097      1            1097
2OHZO8G       1098      1            1098
4O8ORG        1099      1            1099
GHTODG        1100      1            1100
GDGTG         1101      1            1101
8C8           1102      1            1102
8DG           1103      1            1103
TO8E          1104      1            1104
O8E           1105      1            1105
82G           1106      1            1106
POE8TO8G      1107      1            1107
SOR8G         1108      1            1108
8ALG          1109      1            1109
TOEOEOR       1110      1            1110
H             1111      1            1111
OL            1112      1            1112
2OG8G         1113      1            1113
2TOE8         1114      1            1114
HORSOR        1115      1            1115
OPTOR         1116      1            1116
8T            1117      1            1117
SDTG          1118      1            1118
2G8TOR        1119      1            1119
SORO8O        1120      1            1120
FZOE8G        1121      1            1121
8OAM          1122      1            1122
SOTG          1123      1            1123
DCDZG         1124      1            1124
GDOEG         1125      1            1125
2OHTG         1126      1            1126
ODORORG       1127      1            1127
DOAIR         1128      1            1128
THOM          1129      1            1129
OHZO2         1130      1            1130
ODO           1131      1            1131
0HTOE         1132      1            1132
4ODO8         1133      1            1133
OE2TCG        1134      1            1134
ODO2          1135      1            1135
OEPZG         1136      1            1136
4OHG8         1137      1            1137
8AIRO8        1138      1            1138
4ODTORG       1139      1            1139
DODG          1140      1            1140
SOL           1141      1            1141
8GHAM         1142      1            1142
HTHO8         1143      1            1143
GTOHAE        1144      1            1144
TOPOE         1145      1            1145
OTDTAR        1146      1            1146
8ORO8G        1147      1            1147
8AEA          1148      1            1148
4OHOEO        1149      1            1149
OIR           1150      1            1150
ODTG8G        1151      1            1151
